,0
390,20777
391,16016
392,16014
393,21651
394,22618
395,21586
396,22152
397,84754
398,22670
399,84849B
400,22927
401,22925
402,21259
403,21257
404,21121
405,82552
406,90200B
407,90059B
408,90185C
409,90059E
410,90059C
411,90200C
412,90200D
413,90200A
414,22737
415,21260
416,22744
417,21985
418,22988
419,22295
420,16258A
421,21992
422,21124
423,22735
424,22945
425,21816
426,21815
427,21814
428,10125
429,22573
430,22577
431,22603
432,20878
433,20866
434,85095
435,22333
436,21584
437,22731
438,22558
439,22956
440,22582
441,22759
442,85231B
443,85231G
444,22082
445,22500
446,22742
447,21329
448,21327
449,21738
450,48173C
451,72818
452,22312
453,21137
454,22041
455,20979
456,20977
457,22571
458,22423
459,21621
460,47563A
461,84558A
462,21577
463,22087
464,22651
465,22713
466,21370
467,21367
468,22376
469,21895
470,21034
471,22372
472,21190
473,21894
474,70007
475,46000M
476,22630
477,22712
478,22983
479,22024
480,21488
481,22895
482,22784
483,21441
484,84947
485,22485
486,21794
487,20707
488,21175
489,22588
490,21292
491,22760
492,22107
493,21486
494,22151
495,22643
496,22642
497,22604
498,22099
499,22653
500,22906
501,22754
502,22919
503,22917
504,22920
505,22921
506,22918
507,22916
508,22575
509,21804
510,21588
511,22955
512,22583
513,22241
514,22904
515,22905
516,22092
517,22096
518,21358
519,21123
520,21427
521,21930
522,20772
523,71406C
524,84985A
525,20754
526,84596E
527,21111
528,22501
529,84997D
530,47599A
531,47599B
532,20972
533,22569
534,21041
535,21664
536,22907
537,22776
538,21810
539,21197
540,85035B
541,84968C
542,21098
543,21192
544,72800B
545,84563A
546,47504H
547,21742
548,22481
549,22943
550,22699
551,22217
552,22227
553,21106
554,21107
555,22697
556,21826
557,22548
558,17164B
559,22429
560,20974
561,20973
562,15044B
563,20750
564,21135
565,22173
566,22626
567,22625
568,22624
569,84945
570,22244
571,22243
572,47421
573,20712
574,22973
575,84569B
576,22815
577,85114B
578,22584
579,22454
580,22077
581,22963
582,85114C
583,22974
584,21452
585,22743
586,22911
587,22453
588,22445
589,22570
590,22607
591,22635
592,22634
593,22968
594,22222
595,22947
596,22187
597,22164
598,72598
599,22627
600,22487
601,22360
602,22364
603,21657
604,22120
605,21038
606,21625
607,22097
608,21179
609,22185
610,21662
611,85104
612,21654
613,21658
614,21519
615,22819
616,21506
617,22704
618,21498
619,15056N
620,22049
621,21497
622,21333
623,22194
624,22688
625,84692
626,22444
627,22556
628,22555
629,22547
630,22543
631,22539
632,22561
633,22489
634,22814
635,21520
636,21982
637,21981
638,21967
639,21983
640,22615
641,22614
642,22095
643,22094
644,21984
645,21786
646,21080
647,22962
648,22966
649,21874
650,21873
651,21870
652,84050
653,22315
654,22667
655,22666
656,22665
657,22567
658,21166
659,85152
660,82600
661,22842
662,22494
663,22740
664,22825
665,22680
666,22797
667,21843
668,22118
669,22121
670,22119
671,22311
672,72817
673,22277
674,20867
675,21688
676,21694
677,22800
678,22801
679,22781
680,21466
681,21467
682,21471
683,21469
684,21524
685,22791
686,21690
687,37343
688,22088
689,21143
690,84944
691,22601
692,22600
693,22574
694,85199L
695,85199S
696,72741
697,37495
698,22171
699,85067
700,48184
701,48138
702,85019A
703,85019C
704,20902
705,21429
706,21928
707,20711
708,22599
709,22597
710,22336
711,21922
712,35961
713,84884A
714,51014C
715,51014L
716,51014A
717,22366
718,22876
719,22953
720,48111
721,22847
722,22846
723,22652
724,22402
725,22400
726,22399
727,79302M
728,37446
729,37449
730,21231
731,84509B
732,22313
733,22314
734,21181
735,21818
736,22976
737,21668
738,22774
739,21462
740,22496
741,84870C
742,84870B
743,22765
744,21351
745,21191
746,22581
747,22639
748,22579
749,22572
750,21809
751,21147
752,22640
753,22641
754,22638
755,22576
756,21817
757,21813
758,21808
759,21014
760,21018
761,22946
762,M
763,22816
764,22818
765,22660
766,85232B
767,21761
768,21781
769,85032D
770,22696
771,84360
772,35954
773,35957
774,84760S
775,72816
776,35598D
777,85045
778,21352
779,22065
780,35598B
781,85048
782,22589
783,22578
784,22855
785,21864
786,15056P
787,85174
788,82615
789,85038
790,20971
791,21354
792,22965
793,21672
794,21374
795,21365
796,84032A
797,84031A
798,21509
799,22025
800,22725
801,37448
802,22355
803,22421
804,17003
805,84997A
806,21136
807,22794
808,71477
809,22030
810,21055
811,22519
812,21472
813,21877
814,22524
815,20765
816,21704
817,21703
818,85035C
819,72803A
820,20682
821,40001
822,21709
823,22220
824,21739
825,85034A
826,72798C
827,35271S
828,21380
829,21221
830,20755
831,21421
832,21422
833,22617
834,21056
835,84832
836,22863
837,22792
838,84970S
839,21364
840,21042
841,47567B
842,22271
843,22272
844,22273
845,22274
846,21172
847,72760B
848,22602
849,22365
850,22507
851,62096A
852,85071D
853,21272
854,22044
855,21918
856,22029
857,22037
858,21360
859,84077
860,22898
861,84792
862,21356
863,22179
864,85175
865,20893
866,20975
867,22440
868,22434
869,22564
870,21215
871,21058
872,21060
873,21719
874,21722
875,84826
876,21881
877,21880
878,10135
879,22422
880,22536
881,22491
882,21355
883,21518
884,22023
885,22027
886,22718
887,22717
888,22028
889,21670
890,21669
891,21671
892,21673
893,22245
894,22460
895,22432
896,22433
897,22431
898,84674
899,21069
900,21070
901,22419
902,22676
903,22672
904,22928
905,22778
906,22777
907,22477
908,21875
909,22924
910,21217
911,79066K
912,22301
913,22446
914,22832
915,20674
916,20676
917,82582
918,22170
919,21679
920,21428
921,21868
922,22840
923,79191C
924,20733
925,47471
926,16046
927,22654
928,85135B
929,21154
930,22755
931,22796
932,22733
933,22560
934,22559
935,22896
936,20967
937,84031B
938,21430
939,21313
940,47566B
941,22499
942,22090
943,22071
944,22070
945,21216
946,20983
947,21537
948,21533
949,21527
950,21538
951,85216
952,22131
953,21163
954,21158
955,21161
956,21159
957,22212
958,84971S
959,21390
960,22335
961,22285
962,22284
963,21383
964,21381
965,47590B
966,47590A
967,22210
968,22209
969,22208
970,21872
971,21888
972,22822
973,85136A
974,22385
975,20969
976,20970
977,22374
978,22375
979,21741
980,85061W
981,21385
982,21288
983,21803
984,21801
985,40016
986,22202
987,21064
988,47591B
989,47591D
990,84341B
991,84509G
992,16235
993,20986
994,20832
995,84846A
996,22442
997,21563
998,21769
999,85227
1000,20798
1001,22669
1002,22320
1003,21249
1004,22493
1005,21561
1006,21218
1007,85132A
1008,85132B
1009,85132C
1010,22215
1011,21238
1012,20675
1013,21239
1014,21244
1015,21245
1016,21207
1017,21987
1018,21988
1019,21989
1020,22316
1021,22332
1022,22437
1023,21086
1024,21206
1025,20677
1026,22083
1027,22806
1028,22893
1029,22841
1030,85159A
1031,85064
1032,21784
1033,22849
1034,17090D
1035,17090A
1036,72127
1037,72133
1038,84763
1039,85127
1040,20978
1041,21833
1042,22450
1043,10124G
1044,84519B
1045,22349
1046,22505
1047,22514
1048,22862
1049,21504
1050,22292
1051,21211
1052,21974
1053,22045
1054,90175C
1055,90180A
1056,90178A
1057,22746
1058,22986
1059,20984
1060,22436
1061,21465
1062,21470
1063,16012
1064,85025C
1065,21851
1066,21849
1067,85124B
1068,85124C
1069,20828
1070,21830
1071,21623
1072,85184C
1073,85177
1074,22795
1075,84946
1076,22169
1077,16156S
1078,85049F
1079,22426
1080,22190
1081,90082D
1082,90082A
1083,90082B
1084,90081A
1085,90204
1086,90185B
1087,90195A
1088,90195B
1089,90196A
1090,90199A
1091,90177C
1092,90186A
1093,20894
1094,85106
1095,21415
1096,21710
1097,22174
1098,21416
1099,21417
1100,22343
1101,22474
1102,18097A
1103,18097C
1104,22977
1105,21899
1106,21911
1107,21902
1108,21901
1109,21948
1110,21949
1111,20759
1112,20760
1113,20757
1114,20981
1115,85185D
1116,85185B
1117,22328
1118,22327
1119,79164
1120,84683
1121,21745
1122,79163
1123,21155
1124,15060B
1125,21700
1126,22985
1127,22821
1128,85114A
1129,22705
1130,20724
1131,22084
1132,22356
1133,22380
1134,72801C
1135,72801D
1136,21735
1137,21500
1138,15036
1139,21408
1140,BANK CHARGES
1141,20718
1142,21539
1143,22341
1144,22452
1145,21508
1146,21507
1147,21499
1148,20719
1149,85178
1150,84952C
1151,84952B
1152,71459
1153,35001G
1154,22264
1155,20665
1156,22181
1157,21392
1158,21393
1159,21268
1160,22902
1161,85144
1162,21025
1163,21031
1164,21030
1165,21026
1166,21032
1167,21578
1168,22350
1169,21357
1170,20766
1171,21398
1172,21399
1173,22562
1174,21714
1175,21990
1176,20751
1177,21993
1178,21935
1179,20752
1180,22636
1181,21426
1182,21581
1183,90002D
1184,82551
1185,82599
1186,21908
1187,82583
1188,82567
1189,21174
1190,21900
1191,70006
1192,22031
1193,79067
1194,21788
1195,22408
1196,22406
1197,22405
1198,84950
1199,22275
1200,37450
1201,22043
1202,22042
1203,22089
1204,46000S
1205,21059
1206,22207
1207,21927
1208,21925
1209,22763
1210,85066
1211,22141
1212,22334
1213,21349
1214,22655
1215,22060
1216,22061
1217,21531
1218,22180
1219,21039
1220,21157
1221,47559B
1222,22649
1223,16161P
1224,16161M
1225,85214
1226,84247G
1227,22890
1228,21530
1229,21528
1230,72807C
1231,21820
1232,21821
1233,22162
1234,21706
1235,21114
1236,20615
1237,47021G
1238,22443
1239,20681
1240,22605
1241,22751
1242,22155
1243,21807
1244,22161
1245,20956
1246,22067
1247,22276
1248,22503
1249,22504
1250,22747
1251,22621
1252,22845
1253,79000
1254,22802
1255,22078
1256,85049B
1257,21878
1258,85131A
1259,22158
1260,22300
1261,10123C
1262,10120
1263,84006
1264,20767
1265,90094
1266,22758
1267,21882
1268,21884
1269,22756
1270,22757
1271,22154
1272,84993A
1273,84987
1274,20998
1275,21407
1276,22702
1277,22550
1278,22076
1279,84925D
1280,84520B
1281,21078
1282,85018D
1283,22732
1284,47503J
1285,22278
1286,37464
1287,84247N
1288,84247K
1289,22035
1290,21250
1291,21677
1292,22438
1293,47504K
1294,84212
1295,21828
1296,21377
1297,21379
1298,37489D
1299,17107D
1300,22132
1301,22133
1302,37489B
1303,37489C
1304,21564
1305,21932
1306,21933
1307,21100
1308,37489A
1309,22072
1310,84534B
1311,84536A
1312,21905
1313,21164
1314,47566
1315,21945
1316,22844
1317,22414
1318,21906
1319,22456
1320,22116
1321,85130A
1322,85129C
1323,22753
1324,22137
1325,85230B
1326,85230F
1327,22306
1328,85136C
1329,22331
1330,84849D
1331,22409
1332,90128B
1333,90196B
1334,90198B
1335,90152B
1336,90151
1337,22482
1338,20661
1339,21850
1340,20652
1341,21845
1342,22304
1343,22398
1344,20854
1345,84877D
1346,20657
1347,47422
1348,21642
1349,20658
1350,22396
1351,47503H
1352,72130
1353,72128
1354,84562A
1355,21936
1356,21040
1357,21937
1358,22701
1359,22359
1360,22361
1361,22362
1362,82011C
1363,84865
1364,21287
1365,79337
1366,85111
1367,22307
1368,85078
1369,72802A
1370,85036B
1371,85035A
1372,85034C
1373,84614A
1374,22509
1375,22471
1376,46000R
1377,22786
1378,22686
1379,22678
1380,22586
1381,20697
1382,20699
1383,22671
1384,85135C
1385,84580
1386,21579
1387,21112
1388,17109D
1389,21011
1390,22853
1391,72807B
1392,85034B
1393,72802B
1394,72800D
1395,22476
1396,84819
1397,90185D
1398,90175A
1399,22458
1400,22459
1401,21165
1402,22156
1403,21876
1404,22080
1405,22079
1406,90162B
1407,90162D
1408,90167
1409,22403
1410,11001
1411,22563
1412,84581
1413,84827
1414,22592
1415,20936
1416,22799
1417,22854
1418,22305
1419,22415
1420,22255
1421,22256
1422,21447
1423,47310M
1424,21446
1425,22525
1426,22479
1427,22478
1428,84508B
1429,22892
1430,84678
1431,21787
1432,21774
1433,21439
1434,21195
1435,21555
1436,84279P
1437,21829
1438,22390
1439,22483
1440,21054
1441,84963A
1442,72349B
1443,17091J
1444,72232
1445,84993B
1446,20686
1447,85206A
1448,22021
1449,84898F
1450,21445
1451,77101A
1452,84358
1453,21294
1454,21468
1455,21558
1456,22123
1457,22897
1458,22939
1459,21836
1460,21802
1461,35653
1462,22348
1463,85130D
1464,15039
1465,84978
1466,84569D
1467,22175
1468,72351A
1469,84921
1470,22439
1471,84508C
1472,84352
1473,22412
1474,72051S
1475,72799E
1476,72799F
1477,84596G
1478,20764
1479,84535B
1480,84536B
1481,47579
1482,21726
1483,21723
1484,21110
1485,35953
1486,84051
1487,21187
1488,35471D
1489,21696
1490,22034
1491,75013B
1492,20829
1493,22830
1494,21580
1495,22231
1496,22859
1497,22860
1498,22093
1499,22091
1500,21865
1501,20748
1502,85208
1503,22129
1504,22808
1505,21109
1506,20702
1507,85187
1508,79190A
1509,15034
1510,47593B
1511,85129D
1512,85129B
1513,35924
1514,21624
1515,20671
1516,84988
1517,22430
1518,21903
1519,21904
1520,21361
1521,22843
1522,22199
1523,22200
1524,85055
1525,84968A
1526,37509
1527,82616B
1528,47343A
1529,47369A
1530,47369B
1531,47367B
1532,22337
1533,22354
1534,21695
1535,84773
1536,22251
1537,22252
1538,22135
1539,22069
1540,21401
1541,84597C
1542,51020A
1543,51020B
1544,21306
1545,21311
1546,21307
1547,21635
1548,22081
1549,21277
1550,22475
1551,22532
1552,90200E
1553,90062
1554,84596L
1555,84596F
1556,22346
1557,22344
1558,22345
1559,84920
1560,21243
1561,85062
1562,84658
1563,47580
1564,18098C
1565,85016
1566,22984
1567,85015
1568,22134
1569,22949
1570,85036C
1571,85170D
1572,21640
1573,21202
1574,35971
1575,21822
1576,84531A
1577,84531B
1578,21910
1579,22674
1580,22461
1581,22833
1582,22690
1583,84881
1584,21613
1585,21693
1586,22497
1587,84809A
1588,79190D
1589,22157
1590,22811
1591,21713
1592,20802
1593,22052
1594,20781
1595,22389
1596,72807A
1597,22073
1598,18007
1599,21675
1600,21720
1601,21240
1602,21242
1603,35241
1604,22606
1605,37479B
1606,37482P
1607,20903
1608,20897
1609,71403
1610,21291
1611,47594A
1612,21162
1613,22425
1614,84926D
1615,84926A
1616,22233
1617,22486
1618,72801G
1619,84711A
1620,84507C
1621,22176
1622,16169N
1623,22891
1624,20769
1625,35597A
1626,47480
1627,84522
1628,20731
1629,35597B
1630,21253
1631,21366
1632,21682
1633,21219
1634,84596B
1635,21226
1636,79030G
1637,79160
1638,22203
1639,22329
1640,72351B
1641,16011
1642,21224
1643,72131
1644,21089
1645,21647
1646,72122
1647,84912A
1648,85036A
1649,84795B
1650,22719
1651,21692
1652,21618
1653,21917
1654,84569A
1655,20775
1656,21576
1657,90179C
1658,90060D
1659,71270
1660,21819
1661,85020
1662,22059
1663,20861
1664,21827
1665,79051A
1666,85169A
1667,21495
1668,17007B
1669,10124A
1670,21644
1671,46000P
1672,21638
1673,40005B
1674,18094C
1675,47586A
1676,46115B
1677,84975
1678,21336
1679,21262
1680,22050
1681,21680
1682,20819
1683,84925F
1684,21812
1685,22535
1686,21547
1687,17021
1688,35001W
1689,21617
1690,21001
1691,21000
1692,22693
1693,20782
1694,21397
1695,22948
1696,35646
1697,47574A
1698,71279
1699,72819
1700,84665
1701,22283
1702,20857
1703,48188
1704,21627
1705,22498
1706,21789
1707,51008
1708,84725
1709,37479P
1710,21534
1711,22515
1712,22518
1713,35958
1714,22101
1715,22545
1716,17038
1717,21012
1718,84912B
1719,79144B
1720,84388
1721,17084J
1722,84968F
1723,84968D
1724,22613
1725,22908
1726,85167B
1727,21171
1728,85232D
1729,20780
1730,22299
1731,22762
1732,21773
1733,22139
1734,21689
1735,84247E
1736,21616
1737,20762
1738,85170B
1739,22788
1740,22770
1741,21557
1742,84596J
1743,85170A
1744,85059
1745,84497
1746,85026B
1747,90175D
1748,21725
1749,82001S
1750,22495
1751,20985
1752,85176
1753,90212B
1754,90212C
1755,22708
1756,22048
1757,16161U
1758,22710
1759,22051
1760,22931
1761,22930
1762,22937
1763,22936
1764,22935
1765,22789
1766,84924A
1767,37447
1768,20716
1769,22167
1770,47348A
1771,22932
1772,85024C
1773,20996
1774,21947
1775,71038
1776,84613C
1777,84828
1778,84910A
1779,20763
1780,21991
1781,84559A
1782,22085
1783,21201
1784,21246
1785,22211
1786,21376
1787,21375
1788,21205
1789,84559B
1790,20618
1791,21896
1792,22265
1793,47420
1794,22510
1795,48116
1796,22761
1797,22063
1798,22057
1799,90184B
1800,90184A
1801,21275
1802,22513
1803,71496A
1804,71495B
1805,22378
1806,78124
1807,37500
1808,22166
1809,22145
1810,22163
1811,20761
1812,85118
1813,85230G
1814,35833P
1815,62018
1816,71215
1817,20886
1818,20695
1819,84508A
1820,20892
1821,22324
1822,22820
1823,16168M
1824,84952A
1825,21846
1826,84706D
1827,22828
1828,21281
1829,22591
1830,21684
1831,21289
1832,85170C
1833,22516
1834,22523
1835,22521
1836,22698
1837,85053
1838,84875B
1839,84876D
1840,90211B
1841,84192
1842,C2
1843,21628
1844,21630
1845,22673
1846,22254
1847,22894
1848,21615
1849,22236
1850,22933
1851,85039C
1852,85107
1853,22741
1854,21051
1855,21382
1856,44234
1857,44235
1858,75131
1859,40003
1860,22026
1861,90036D
1862,22944
1863,22598
1864,16015
1865,16008
1866,21535
1867,21683
1868,21284
1869,22824
1870,17084N
1871,17084P
1872,21128
1873,21132
1874,84818
1875,21879
1876,85008
1877,84913B
1878,84913A
1879,84915
1880,84916
1881,84843
1882,85032A
1883,85032C
1884,35648
1885,37501
1886,84849A
1887,37333
1888,22734
1889,47578A
1890,20778
1891,20758
1892,20770
1893,20771
1894,22416
1895,21562
1896,84356
1897,37475
1898,84951A
1899,84951B
1900,22308
1901,22053
1902,22692
1903,21131
1904,22817
1905,20659
1906,20654
1907,17165D
1908,21442
1909,22291
1910,15058A
1911,22319
1912,20868
1913,21189
1914,90081C
1915,22628
1916,22377
1917,21261
1918,85084
1919,81950V
1920,22689
1921,84631
1922,84799
1923,84789
1924,22393
1925,22391
1926,85230E
1927,22826
1928,22852
1929,22105
1930,22102
1931,22903
1932,21942
1933,85071A
1934,16225
1935,16033
1936,20830
1937,20831
1938,22420
1939,21648
1940,21944
1941,21721
1942,22677
1943,84509C
1944,90186B
1945,90190C
1946,90003D
1947,90003C
1948,90067A
1949,90003B
1950,21378
1951,22934
1952,85032B
1953,22857
1954,85017B
1955,22858
1956,22861
1957,22230
1958,22232
1959,21717
1960,20793
1961,16218
1962,20664
1963,47593A
1964,20670
1965,21943
1966,21946
1967,21711
1968,20666
1969,22136
1970,20735
1971,22055
1972,21027
1973,85136B
1974,72132
1975,84882
1976,22681
1977,16216
1978,20980
1979,21973
1980,84660B
1981,22700
1982,21248
1983,82011A
1984,20801
1985,82616C
1986,85183A
1987,35610B
1988,35610C
1989,84927E
1990,84816
1991,22184
1992,90129A
1993,90120D
1994,22512
1995,85006
1996,21619
1997,22954
1998,22611
1999,22675
2000,22047
2001,21331
2002,20846
2003,21666
2004,22214
2005,20847
2006,20848
2007,79190B
2008,20826
2009,21145
2010,84575A
2011,84313C
2012,84313B
2013,90125D
2014,21473
2015,82605
2016,90210A
2017,20803
2018,22342
2019,22782
2020,84766
2021,35095B
2022,84823
2023,22887
2024,22884
2025,22720
2026,22722
2027,21620
2028,84817
2029,84820
2030,84821
2031,35651
2032,84917
2033,22711
2034,22522
2035,22520
2036,22270
2037,85195
2038,21188
2039,85194L
2040,21319
2041,22721
2042,22723
2043,90058B
2044,21650
2045,84597B
2046,20856
2047,17084R
2048,84688
2049,20622
2050,20617
2051,20655
2052,84616
2053,84666
2054,21200
2055,84673A
2056,84673B
2057,21749
2058,90210D
2059,85180A
2060,84660C
2061,84660A
2062,82613B
2063,82613D
2064,22647
2065,85180B
2066,20704
2067,20705
2068,22831
2069,21386
2070,21066
2071,22223
2072,90185A
2073,90146
2074,90161D
2075,90161B
2076,90161C
2077,90129C
2078,90129B
2079,22269
2080,85040B
2081,85039B
2082,85039A
2083,35610A
2084,35817P
2085,22546
2086,22656
2087,85141
2088,21656
2089,90042A
2090,90136
2091,90060B
2092,90035A
2093,90133
2094,90179A
2095,79329
2096,85146
2097,22033
2098,22032
2099,84751B
2100,85211
2101,84620
2102,21448
2103,22609
2104,22108
2105,85212
2106,82613C
2107,84929
2108,17012C
2109,17012E
2110,21194
2111,21792
2112,21707
2113,17014A
2114,17012A
2115,17012B
2116,17012F
2117,22868
2118,22877
2119,22878
2120,22874
2121,22870
2122,22875
2123,22873
2124,22872
2125,22869
2126,22871
2127,22302
2128,47594B
2129,21196
2130,21199
2131,22218
2132,21934
2133,22970
2134,90209C
2135,22303
2136,21631
2137,90057
2138,22062
2139,22040
2140,21348
2141,47503A
2142,22971
2143,84877B
2144,21643
2145,84078A
2146,84926F
2147,21400
2148,35911A
2149,20910
2150,85031C
2151,84012
2152,84813
2153,85027L
2154,79030D
2155,84613A
2156,21043
2157,22395
2158,37342
2159,37327
2160,85169C
2161,85169D
2162,84750B
2163,85040A
2164,21746
2165,85173
2166,85054
2167,22394
2168,22263
2169,22259
2170,22258
2171,21632
2172,16236
2173,16219
2174,21279
2175,16048
2176,85159B
2177,22325
2178,35965
2179,21391
2180,72800C
2181,17011F
2182,17012D
2183,35809A
2184,35810A
2185,35607A
2186,22410
2187,21389
2188,22769
2189,84859A
2190,85103
2191,85031A
2192,85031B
2193,21286
2194,22249
2195,84584
2196,20696
2197,35914
2198,20794
2199,85205B
2200,22929
2201,85163A
2202,85163B
2203,85232A
2204,22309
2205,21424
2206,22221
2207,46000U
2208,21698
2209,35400
2210,90154
2211,90199D
2212,90014A
2213,90170
2214,90178B
2215,90114
2216,20768
2217,16169P
2218,21793
2219,85109
2220,84804A
2221,84800L
2222,84800M
2223,84802A
2224,84806A
2225,22668
2226,22286
2227,20941
2228,84457
2229,85130B
2230,84249A
2231,21251
2232,22538
2233,21198
2234,90027A
2235,90027D
2236,90019A
2237,90040A
2238,90120C
2239,90040B
2240,90198A
2241,22262
2242,22260
2243,22066
2244,20932
2245,84199
2246,72225C
2247,82613A
2248,22679
2249,22685
2250,22683
2251,22682
2252,85135A
2253,22608
2254,22823
2255,22526
2256,22517
2257,22138
2258,15044C
2259,15044A
2260,22282
2261,90022
2262,90104
2263,84499
2264,21403
2265,21067
2266,16045
2267,90108
2268,90173
2269,21394
2270,21972
2271,22046
2272,17013D
2273,16206B
2274,46138B
2275,20701
2276,47585A
2277,22201
2278,84926E
2279,21503
2280,22293
2281,22148
2282,84218
2283,85194S
2284,90125A
2285,35911B
2286,84989A
2287,16169M
2288,20934
2289,22715
2290,22709
2291,22288
2292,20785
2293,37476
2294,85089
2295,84931A
2296,84931B
2297,35909A
2298,35910A
2299,85096
2300,21269
2301,21413
2302,21763
2303,20933
2304,35972
2305,84459B
2306,21455
2307,21204
2308,17096
2309,47589
2310,84638
2311,84637
2312,84927F
2313,22261
2314,21278
2315,21209
2316,47518F
2317,22684
2318,16156L
2319,21318
2320,85025B
2321,47351B
2322,21002
2323,21084
2324,21088
2325,21090
2326,21096
2327,85093
2328,85094
2329,22707
2330,84251B
2331,84251G
2332,84251C
2333,84707A
2334,22248
2335,22250
2336,22229
2337,84510C
2338,84741C
2339,21220
2340,21222
2341,22266
2342,22268
2343,22267
2344,21003
2345,22257
2346,21785
2347,21757
2348,90123B
2349,90123C
2350,90122A
2351,90184C
2352,90122C
2353,90156
2354,90155
2355,84874B
2356,75049L
2357,22228
2358,79191B
2359,85071C
2360,84600
2361,84617
2362,21332
2363,84685
2364,62094B
2365,37444C
2366,22448
2367,84247L
2368,21686
2369,79071B
2370,44091A
2371,21280
2372,16169K
2373,22889
2374,22886
2375,22885
2376,22883
2377,22882
2378,22881
2379,22880
2380,22879
2381,22888
2382,22856
2383,22703
2384,85203
2385,85204
2386,85197
2387,20684
2388,21028
2389,21775
2390,85019B
2391,16207B
2392,20698
2393,47556B
2394,21208
2395,79323P
2396,21655
2397,35265
2398,21747
2399,22281
2400,84459A
2401,22322
2402,23231
2403,21626
2404,35915B
2405,62086A
2406,37340
2407,23230
2408,85206B
2409,22182
2410,20931
2411,84748
